Police_station_name,address,phone_number,latitude,longitude
Banaswadi Police Station,"5th Main, 3rd Cross Rd, near Electricity Complaint Office, Kalyan Nagar, Bengaluru",080-22942147,13.01985733,77.63991203
Bharathi Nagar Police Station,,080-22942547,12.99147317,77.61221857
Byappanahalli Police Station,"Near Gopalan Signature Mall, Swamy Vivekananda Road, Rahat Bagh, Nagavarapalya, Bennigana Halli, Bengaluru",NaN,12.99183544,77.65724968
Commercial Street Police Station,,080-22942549,12.98256626,77.60713658
D.J Halli Police Station,"Shampura Main Rd, Dr. Ambedkar Nagar, Kaval Bairasandra, Bengaluru",080-25541012,13.01156565,77.61313908
Halsoor Police Station,"Ground Floor, Swami Vivekananda Rd, Cambridge Layout, Jogupalya, Bengaluru
",080-25541012,13.01156565,77.61316797
Hennuru Police Station,"Service Rd, Balachandra Layout, Babusabpalya, Hennur Gardens, Bengaluru",080-22942557,13.02405709,77.64566862
Indira Nagar Police Station,"Swami Vivekananda Rd, Binnamangala, Hoysala Nagar, Indiranagar, Bengaluru",080-22942541,12.98317864,77.63839982
J.B Nagar Police Station,"Sector 12, Jeevan Bima Nagar, Bengaluru, Karnataka 560075
",080-25264352,12.96791477,77.65573348
K.G Halli Police Station,"Arabic College Post, Nagawara Main Rd, Vinobha Nagar, Kadugondanahalli, Bengaluru",080-22942556,13.01957092,77.6190679
Pulakeshi Nagar Police Station,"MM Road, near BBMP Help Centre, Pulikeshi Nagar, Bengaluru",080-22942924,12.99955303,77.61986511
Ramamurthy Nagar Police Station,"Kempe Gowda Underpass Rd, East of NGEF Layout, Dooravani Nagar, Bengaluru",080-22942554,13.0044036,77.66604636
Shivajinagar police station and women's cell,"HKP Road, Sulthangunta, Shivaji Nagar, Bengaluru",18004250100,12.9880958,77.6035868
Ashoka Nagar Police Station And office of the Assistant commissioner of police cubbon park sub division,"Commissariat Rd, Ashok Nagar, Bengaluru",080-22942580,12.9721561,77.60989088
Cubbon Park Police Station,"VV Towers, ground floor, Dr Ambedkar Rd, Bengaluru
",080-22942675,12.9829037,77.59602399
Halasuru Gate Traffic Police Station,"Corporation Circle, Cubbonpete, Nagarathpete, Bengaluru",080-22943124,12.96702425,77.58719698
High Grounds Police Station,"Millers Rd, Vasanth Nagar, Bengaluru",080-22942587,12.9899393,77.5927277
S.J Park Police Station,"391, Kumbaragundi Rd, behind Shiva Talkies, Kalasipalyam New Extension, Bengaluru",080-22942583,12.96114809,77.58318479
S.R Nagar Police Station,"16th Cross, 4th Main Road, Mission Road, Sampangi Rama Nagar, Bengaluru",080-22942582,12.96320428,77.59205678
Sadashivanagara Police Station,"11th Cross Rd, Near-Reliance Money, Sadashiva Nagar, Bengaluru",080-942004,13.01767372,77.57248037
Seshadripuram Police Station,"1st Main Road, 198, Subedar Chatram Rd, Seshadripuram, Bengaluru, Karnataka 560020",080-22942586,12.98831989,77.57434104
Vidhana Soudha Police Station,"Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru",080-22942086,12.97808043,77.58805805
Viveknagara Police Station,"Ejipura Main Road, Vivek Nagar, Bengaluru
",080-25717100,12.95180015,77.62227826
Vyalikaval Police Station,"2nd Main Road, Near-State Bank Of Mysore, Vyalikaval, Bengaluru",080-23443484,13.00164561,77.57863856
Wilson Garden Police Station,"Siddaiah Rd, Vinayaka Nagar, NGO Colony, Wilson Garden, Bengaluru",080-22942581,12.95030998,77.5961621
